x,y,z,g,wa,wr
14.0,68.0,131.0,130,32.0,90
18.0,73.0,128.0,130,29.0,90
20.0,75.0,124.0,130,23.0,90
19.0,75.0,121.0,130,21.0,90
17.0,75.0,118.0,130,19.0,90
16.0,75.0,117.0,130,18.0,90
14.0,75.0,116.0,130,16.0,90
11.0,75.0,115.0,130,14.0,90
10.0,75.0,115.0,130,12.0,90
9.0,75.0,114.0,130,11.0,90
9.0,75.0,114.0,130,10.0,90
11.0,76.0,113.0,130,8.0,90
13.0,77.0,111.0,130,7.0,90
16.0,79.0,108.0,130,6.0,90
18.0,80.0,105.0,130,4.0,90
21.0,80.0,100.0,130,3.0,90
22.0,80.0,97.0,130,3.0,90
24.0,79.0,94.0,130,3.0,90
25.0,78.0,92.0,130,3.0,90
25.0,76.0,90.0,130,4.0,90
26.0,72.0,89.0,130,5.0,90
27.0,68.0,87.0,130,7.0,90
28.0,67.0,87.0,130,8.0,90
30.0,66.0,86.0,130,9.0,90
31.0,66.0,86.0,130,7.0,90
31.0,66.0,87.0,130,3.0,90
32.0,67.0,88.0,130,-2.0,90
33.0,67.0,90.0,130,-7.0,90
35.0,68.0,92.0,130,-12.0,90
35.0,69.0,95.0,130,-15.0,90
35.0,69.0,97.0,130,-18.0,90
35.0,70.0,98.0,130,-18.0,90
33.0,70.0,99.0,130,-18.0,90
32.0,70.0,99.0,130,-17.0,90
33.0,70.0,100.0,130,-16.0,90
34.0,70.0,100.0,130,-15.0,90
34.0,69.0,101.0,130,-15.0,90
34.0,69.0,101.0,130,-14.0,90
34.0,68.0,101.0,130,-14.0,90
34.0,68.0,101.0,130,-14.0,90
34.0,68.0,102.0,130,-14.0,90
34.0,68.0,102.0,130,-15.0,90
34.0,68.0,102.0,130,-15.0,90
34.0,68.0,102.0,130,-15.0,90
35.0,68.0,102.0,130,-16.0,90
35.0,68.0,102.0,130,-16.0,90
35.0,67.0,102.0,130,-16.0,90
35.0,67.0,102.0,130,-16.0,90
36.0,67.0,102.0,130,-16.0,90
36.0,67.0,102.0,130,-17.0,90
37.0,67.0,102.0,130,-17.0,90
37.0,67.0,102.0,130,-17.0,90
37.0,66.0,102.0,130,-17.0,90
37.0,66.0,102.0,130,-18.0,90
37.0,66.0,102.0,130,-18.0,90
37.0,66.0,102.0,130,-18.0,90
37.0,66.0,102.0,130,-18.0,90
38.0,65.0,102.0,130,-18.0,90
